t_s,dist_m,epoch_iso,lon,lat,sv,constellation,az,el,range_m,status,block_kind
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,G01,GPS,270.68955988964126,24.698957370396137,23215810.425,NLOS,building
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,G02,GPS,290.2783093847862,52.27862314740902,21361642.287,NLOS,building
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,G08,GPS,272.07248558508957,77.64208662875859,20300304.338,NLOS,building
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,G10,GPS,54.096200953694336,53.75561501760594,21426475.561,NLOS,building
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,G16,GPS,186.85693770412897,12.712237933407422,24755962.827,NLOS,building
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,G23,GPS,45.38988596426441,18.352727134739357,23883901.716,NLOS,building
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,G27,GPS,145.2213885112418,60.749970891671005,20857458.199,LOS,
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,G32,GPS,121.0563952549137,28.969982562587678,23025905.289,NLOS,building
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,E13,Galileo,235.27888043622016,12.298974563991303,27563758.4,NLOS,terrain
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,E15,Galileo,241.88522055544985,65.09155925665655,23694089.858,LOS,
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,E21,Galileo,318.6101586645384,11.914137522021845,27636952.864,NLOS,building
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,E27,Galileo,288.9853170146281,59.5359186301088,23939633.139,NLOS,building
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,E30,Galileo,175.38148324149233,54.77448690669176,24161106.524,LOS,
0,0.0,2026-05-09T10:00:00+00:00,11.32689,44.48748,E34,Galileo,47.99438812724742,58.074096930282,24004034.091,LOS,
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,G01,GPS,270.6947518859174,24.704713652060068,23215292.986,NLOS,building
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,G02,GPS,290.28570118395044,52.28464314821944,21361375.053,LOS,
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,G08,GPS,272.03999512667303,77.64622332530888,20300272.104,LOS,
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,G10,GPS,54.09116374160328,53.74892868103078,21426812.885,LOS,
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,G16,GPS,186.8552173439803,12.705475717728014,24756685.297,NLOS,building
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,G23,GPS,45.390236868087186,18.34613416667342,23884519.293,NLOS,building
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,G27,GPS,145.2254947501641,60.741828217634406,20857860.7,LOS,
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,G32,GPS,121.05025502569276,28.9755480778604,23025460.325,NLOS,building
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,E13,Galileo,235.28302619322574,12.303780285533156,27563262.384,NLOS,building
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,E15,Galileo,241.89507755991636,65.09695170977935,23693889.435,NLOS,building
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,E21,Galileo,318.6098930503151,11.919229405626366,27636423.593,NLOS,building
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,E27,Galileo,288.9750535243773,59.53921334737334,23939480.812,LOS,
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,E30,Galileo,175.3818159291684,54.767489023770636,24161475.019,LOS,
1,8.333,2026-05-09T10:00:01+00:00,11.326944289084167,44.487544159912424,E34,Galileo,47.99512466377621,58.06825590499864,24004315.155,LOS,
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,G01,GPS,270.6999440492108,24.710470042521138,23214775.576,NLOS,building
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,G02,GPS,290.2930937935322,52.29066316299211,21361107.865,LOS,
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,G08,GPS,272.00748022104995,77.65035539072198,20300239.98,LOS,
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,G10,GPS,54.086129975942356,53.74224188368524,21427150.292,LOS,
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,G16,GPS,186.8534968536605,12.69871387162318,24757407.761,NLOS,building
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,G23,GPS,45.39058870183783,18.339541315339304,23885136.901,NLOS,building
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,G27,GPS,145.22959995563372,60.73368561220204,20858263.294,LOS,
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,G32,GPS,121.04411378777053,28.98111315861889,23025015.433,NLOS,building
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,E13,Galileo,235.28717231954124,12.308585959652895,27562766.393,NLOS,building
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,E15,Galileo,241.90493735821389,65.1023437714528,23693689.071,NLOS,building
2,16.667,2026-05-09T10:00:02+00:00,11.326998578287885,44.487608319799115,E21,Galileo,318.6096266809247,11.924321256332307,27635894.345,NLOS,building
