window_kind,window_start_time_utc,window_score,epoch_iso,t_s,dist_m,lon,lat,visible_total,los_total,nlos_obstacles,vegetation_degraded,gnss_denied_tunnel_or_covered,pdop_present,pdop_los_total,pdop_los_gps,pdop_los_galileo,svi_total,svi_gps,svi_galileo
worst,16:15:00,70.45454545454545,2026-05-09T16:15:00+00:00,0,0.0,11.32689,44.48748,13,5,8,0,0,1.4499626245131587,4.502738931972158,,,0.38461538461538464,0.3333333333333333,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:15:07+00:00,7,58.333,11.327282577926894,44.48792347638874,13,5,7,1,0,1.4502676008486632,7.328074144802337,,,0.38461538461538464,0.5,0.2857142857142857
worst,16:15:00,70.45454545454545,2026-05-09T16:15:14+00:00,14,116.667,11.32784152874899,44.48820878982933,13,7,4,2,0,1.4505722537197743,5.5799371698528475,9.964430336336365,,0.5384615384615384,0.6666666666666666,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:15:21+00:00,21,175.0,11.328242332605555,44.48856638403136,13,8,3,2,0,1.4508764573597392,4.574083877213918,7.167205610062996,,0.6153846153846154,0.8333333333333334,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:15:28+00:00,28,233.333,11.328427816942053,44.48907402536951,13,7,2,4,0,1.451180177862529,2.584455408264843,4.426378227781782,,0.5384615384615384,0.6666666666666666,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:15:35+00:00,35,291.667,11.32861563380493,44.489581207453114,13,1,5,7,0,1.451483484081067,,,,0.07692307692307693,0.0,0.14285714285714285
worst,16:15:00,70.45454545454545,2026-05-09T16:15:42+00:00,42,350.0,11.328800689424725,44.49008891580568,13,4,4,5,0,1.4517863660039323,28.265937985418436,,,0.3076923076923077,0.16666666666666666,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:15:49+00:00,49,408.333,11.329128333307835,44.490447083403446,13,5,6,2,0,1.4520888732583168,10.189084011154554,,,0.38461538461538464,0.5,0.2857142857142857
worst,16:15:00,70.45454545454545,2026-05-09T16:15:56+00:00,56,466.667,11.329654718044026,44.49061097784474,13,7,5,1,0,1.452391015768818,5.082265121389633,9.90893386982003,,0.5384615384615384,0.6666666666666666,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:16:03+00:00,63,525.0,11.329603322723074,44.49113149256127,13,5,6,2,0,1.4526925210613666,22.844078194206347,,,0.38461538461538464,0.5,0.2857142857142857
